Date,VN30F1M
2022-09-27 07:12:00,-0.6695
2022-09-27 07:24:00,-0.9445
2022-09-27 07:36:00,-0.9448
2022-09-27 07:48:00,-1.0
2022-09-28 02:12:00,-0.9937
2022-09-28 02:24:00,-0.9922
2022-09-28 02:36:00,-1.0
2022-09-28 02:48:00,-1.0009
2022-09-28 03:00:00,-0.9997
2022-09-28 03:12:00,-1.0016
2022-09-28 03:24:00,-1.0023
2022-09-28 03:36:00,-1.0008
2022-09-28 03:48:00,-1.0016
2022-09-28 04:00:00,-0.9447
2022-09-28 04:12:00,-0.9446
2022-09-28 04:24:00,-0.8452
2022-09-28 04:36:00,-0.8452
2022-09-28 06:12:00,0.5195
2022-09-28 06:24:00,0.8181
2022-09-28 06:36:00,0.8178
2022-09-28 06:48:00,0.9085
2022-09-28 07:00:00,0.9059
2022-09-28 07:12:00,0.9038
2022-09-28 07:24:00,0.9065
2022-09-28 07:36:00,0.9972
2022-09-28 07:48:00,0.9952
2022-09-29 02:12:00,0.9999
2022-09-29 02:24:00,0.9994
2022-09-29 02:36:00,0.9989
2022-09-29 02:48:00,0.9992
2022-09-29 03:00:00,0.9985
2022-09-29 03:12:00,0.888
2022-09-29 03:24:00,0.1275
2022-09-29 03:36:00,-0.2529
2022-09-29 03:48:00,-0.3519
2022-09-29 04:00:00,-0.7243
2022-09-29 04:12:00,-0.7238
2022-09-29 04:24:00,-0.7241
2022-09-29 04:36:00,-0.9051
2022-09-29 06:12:00,-0.9042
2022-09-29 06:24:00,-0.9984
2022-09-29 06:36:00,-0.9997
2022-09-29 06:48:00,-0.9999
2022-09-29 07:00:00,-1.0004
2022-09-29 07:12:00,-0.9996
2022-09-29 07:24:00,-0.9922
2022-09-29 07:36:00,-0.9897
2022-09-29 07:48:00,-0.9838
2022-09-30 02:12:00,-0.9825
2022-09-30 02:24:00,-0.9986
2022-09-30 02:36:00,-0.9996
2022-09-30 02:48:00,-0.9999
2022-09-30 03:00:00,-0.8887
2022-09-30 03:12:00,-0.8896
2022-09-30 03:24:00,-0.8158
2022-09-30 03:36:00,-0.8153
2022-09-30 03:48:00,-0.7156
2022-09-30 04:00:00,-0.8264
2022-09-30 04:12:00,-0.8263
2022-09-30 04:24:00,-0.9004
2022-09-30 04:36:00,-0.8983
2022-09-30 06:12:00,-0.6409
2022-09-30 06:24:00,-0.1921
2022-09-30 06:36:00,-0.0554
2022-09-30 06:48:00,0.6246
2022-09-30 07:00:00,0.6816
2022-09-30 07:12:00,1.0
2022-09-30 07:24:00,1.0
2022-09-30 07:36:00,1.0041
2022-09-30 07:48:00,0.9965
2022-10-03 02:12:00,0.919
2022-10-03 02:24:00,0.3964
2022-10-03 02:36:00,0.1707
2022-10-03 02:48:00,-0.3195
2022-10-03 03:00:00,-0.4162
2022-10-03 03:12:00,-0.757
2022-10-03 03:24:00,-0.9056
2022-10-03 03:36:00,-0.9056
2022-10-03 03:48:00,-0.9039
2022-10-03 04:00:00,-0.9024
2022-10-03 04:12:00,-0.999
2022-10-03 04:24:00,-0.9986
2022-10-03 04:36:00,-0.9988
2022-10-03 06:12:00,-1.0001
2022-10-03 06:24:00,-1.0006
2022-10-03 06:36:00,-0.9031
2022-10-03 06:48:00,-0.9038
2022-10-03 07:00:00,-0.5272
2022-10-03 07:12:00,-0.1994
2022-10-03 07:24:00,-0.1971
2022-10-03 07:36:00,-0.1985
2022-10-03 07:48:00,-0.1173
2022-10-04 02:12:00,0.5436
2022-10-04 02:24:00,0.5431
2022-10-04 02:36:00,0.5981
2022-10-04 02:48:00,0.5977
2022-10-04 03:00:00,0.7673
2022-10-04 03:12:00,0.7648
2022-10-04 03:24:00,0.7646
2022-10-04 03:36:00,0.7642
2022-10-04 03:48:00,0.7644
2022-10-04 04:00:00,0.7616
2022-10-04 04:12:00,0.7648
2022-10-04 04:24:00,0.7677
2022-10-04 04:36:00,0.7695
2022-10-04 06:12:00,0.7729
2022-10-04 06:24:00,0.7715
2022-10-04 06:36:00,0.776
2022-10-04 06:48:00,0.7735
2022-10-04 07:00:00,0.1114
2022-10-04 07:12:00,-0.0256
2022-10-04 07:24:00,-0.1069
2022-10-04 07:36:00,-0.2559
2022-10-04 07:48:00,-0.5762
2022-10-05 02:12:00,-0.5835
2022-10-05 02:24:00,-0.5833
2022-10-05 02:36:00,0.0878
2022-10-05 02:48:00,0.4665
2022-10-05 03:00:00,0.6494
2022-10-05 03:12:00,0.8006
2022-10-05 03:24:00,0.9018
2022-10-05 03:36:00,1.0024
2022-10-05 03:48:00,1.0009
2022-10-05 04:00:00,1.003
2022-10-05 04:12:00,1.0
2022-10-05 04:24:00,0.9991
2022-10-05 04:36:00,1.0003
2022-10-05 06:12:00,1.0006
2022-10-05 06:24:00,0.9085
2022-10-05 06:36:00,0.908
2022-10-05 06:48:00,0.2814
2022-10-05 07:00:00,0.2817
2022-10-05 07:12:00,0.3775
2022-10-05 07:24:00,0.3744
2022-10-05 07:36:00,-0.382
2022-10-05 07:48:00,-0.5868
2022-10-06 02:12:00,-0.5873
2022-10-06 02:24:00,-0.9995
2022-10-06 02:36:00,-0.9995
2022-10-06 02:48:00,-1.0
2022-10-06 03:00:00,-1.0
2022-10-06 03:12:00,-1.0
2022-10-06 03:24:00,-0.9999
2022-10-06 03:36:00,-1.0
2022-10-06 03:48:00,-1.0
2022-10-06 04:00:00,-1.0
2022-10-06 04:12:00,-1.0024
2022-10-06 04:24:00,-1.0003
2022-10-06 04:36:00,-0.9999
2022-10-06 06:12:00,-0.9054
2022-10-06 06:24:00,-0.4592
2022-10-06 06:36:00,-0.8373
2022-10-06 06:48:00,-0.8625
2022-10-06 07:00:00,-0.2201
2022-10-06 07:12:00,-0.2203
2022-10-06 07:24:00,-0.2183
2022-10-06 07:36:00,-0.2177
2022-10-06 07:48:00,-0.2172
2022-10-07 02:12:00,-0.2134
2022-10-07 02:24:00,-0.2126
2022-10-07 02:36:00,-0.9006
2022-10-07 02:48:00,-1.0
2022-10-07 03:00:00,-0.9977
2022-10-07 03:12:00,-1.0027
2022-10-07 03:24:00,-0.9135
2022-10-07 03:36:00,-0.9088
2022-10-07 03:48:00,-0.9033
2022-10-07 04:00:00,-0.9031
2022-10-07 04:12:00,-0.8303
